user,item
2764,49
940,92
337,212
603,338
394,1202
538,786
1552,1212
2166,1048
936,5551
528,537
605,1093
1921,695
78,1865
1719,311
100,2786
2134,515
2297,201
683,133
2733,186
403,63
985,1595
2886,116
1950,395
73,231
524,3804
2319,471
1841,1663
766,562
2510,1899
523,529
1736,4631
1086,743
2121,5176
2513,485
2330,1858
2002,867
666,585
337,135
717,3624
2116,476
457,344
2599,528
1981,340
1925,512
60,608
455,426
2438,462
2358,2618
2507,960
1417,311
608,1098
2945,140
560,988
1623,471
2985,3808
1682,543
1643,2515
164,1279
1429,34
1024,1689
2990,512
2355,988
2203,537
1175,209
311,214
2174,960
2090,856
2825,1125
723,6
868,328
1389,338
1535,2331
825,988
1824,887
1530,813
1981,473
2223,765
861,876
292,2961
190,1019
1060,777
292,280
680,89
674,490
1187,2324
1528,81
967,2202
1019,477
2602,116
2662,463
2532,537
2127,946
2578,49
2500,232
2575,843
1551,29
592,2521
607,232
989,764
1812,403
1168,4006
1917,1237
536,1983
1009,1378
2664,2964
0,2202
315,5016
2878,1212
2052,1378
2495,2226
2126,503
2139,105
2281,473
1275,1275
1895,49
231,234
2311,365
2767,421
2096,473
2062,839
1106,562
729,324
2019,3091
1574,1943
1611,186
393,333
2376,503
238,1899
176,217
1521,2324
1787,125
2423,3098
1127,34
2042,846
676,2618
2681,533
283,1339
2786,1707
718,1226
2356,450
1673,19
2093,341
1253,981
1760,485
17,2178
1671,104
1725,932
2614,4139
656,2200
1175,1005
1863,50
609,2014
1745,2202
562,506
2068,1144
1841,1858
1734,3887
1761,717
2592,4139
1266,1596
1502,544
1866,344
19,1423
2664,945
513,428
68,401
1198,116
1213,112
485,468
1715,150
360,3782
2579,3150
607,1379
576,554
1777,497
2973,1212
1234,209
831,783
2304,481
176,49
2364,969
185,0
61,474
147,489
2316,311
1481,844
1661,1096
770,247
97,507
2682,607
1517,1899
2104,3375
2702,604
1017,1386
1980,104
97,1093
406,178
617,312
824,125
757,1360
2107,558
2949,332
1140,1204
187,1105
1606,793
215,368
1441,407
2720,2099
2792,537
325,373
1725,732
743,49
2150,332
895,58
870,1096
1376,793
2107,49
2449,148
2043,1265
69,116
1624,812
2263,58
1006,370
1390,1401
164,1624
1819,658
2665,58
1841,214
808,853
1117,61
543,484
2248,1094
2208,1166
1401,3050
2776,273
39,148
659,471
1894,27
466,2719
1906,499
267,817
933,326
2586,660
998,1378
2601,32
66,585
2018,482
2471,520
836,473
656,288
198,336
993,916
1908,2060
1792,535
75,613
1457,4406
1720,1339
832,531
1639,2515
615,531
1902,1163
388,221
2755,1527
2620,846
1568,125
337,1412
2371,1551
842,1174
22,90
875,719
136,891
1859,601
45,554
925,368
495,846
2965,276
2151,32
26,536
2453,21
1498,502
559,1343
1630,3117
2375,214
347,1900
1846,1910
2275,1858
867,669
1873,494
2244,1687
1767,1517
2306,1296
956,1292
1687,472
1230,585
815,1184
546,428
315,3140
1555,947
572,392
2015,481
368,143
1598,27
789,176
2560,332
870,4406
1545,643
451,104
1637,424
1384,535
1270,507
219,918
819,1600
2401,497
2576,49
2769,1850
102,71
922,474
2450,148
1229,1034
1707,5093
1260,476
1832,2618
1278,474
1870,2726
2733,1593
2451,502
2937,586
2238,186
436,3050
60,1226
290,1163
2310,916
2605,1939
391,473
829,1255
2757,20
2994,4368
1487,835
732,1638
1738,803
1720,1675
2978,782
278,14
1465,472
169,214
1825,680
144,489
1375,1163
864,344
1005,1247
1262,116
1105,499
1530,886
2392,4631
198,817
2230,85
1042,240
1970,1942
1455,473
722,812
2787,3856
31,148
2916,400
2531,788
338,1184
1685,87
1096,129
1711,2498
1431,473
1143,2961
968,932
1738,611
1474,476
706,1278
1794,3371
2240,148
2362,533
678,1919
2441,20
254,5176
2918,475
121,655
1784,4178
713,559
1020,593
325,571
2810,435
1780,2226
1208,1386
1101,5016
143,737
1637,535
1630,1413
769,332
20,2439
1085,1675
1458,515
2677,1775
1170,116
1579,997
1016,4291
2260,116
1631,61
2910,846
2798,825
1571,327
2774,487
2583,156
1980,1174
447,415
2320,373
514,19
1862,282
910,508
815,2014
2939,793
538,655
2320,370
2459,4406
2595,231
2150,450
2459,114
2437,1503
2956,472
2183,332
1022,0
2897,759
92,2153
2966,1091
972,17
224,483
913,27
455,520
2051,721
2171,2738
1297,480
329,1048
1064,116
2523,214
301,1942
1928,2961
2237,288
2885,415
2869,344
73,545
1088,186
1032,1600
884,344
1030,825
1928,4368
391,1237
2716,211
459,481
730,346
672,782
209,3591
942,408
2639,1142
2523,116
799,348
2660,3294
1614,1048
2225,432
2589,341
803,759
902,311
92,398
1751,843
2046,145
2589,550
1204,825
2240,774
807,701
1251,368
1930,606
2679,5421
1337,336
1092,485
36,339
1776,582
412,501
1874,485
226,641
1240,4368
2710,289
2404,49
2275,232
200,526
1903,1339
475,202
2958,1126
2035,234
944,4440
2712,27
2934,4030
2739,277
953,400
22,113
2912,1005
197,111
2284,368
2980,104
2348,2500
2785,483
1268,4537
1891,528
1717,496
2692,348
2598,289
1096,326
1564,2697
1690,527
1073,209
2072,611
2671,721
1029,46
355,2209
572,473
1808,214
1688,123
440,793
2068,1125
2713,36
9,1817
432,234
2644,380
2217,100
398,116
2787,61
829,212
267,311
192,347
1723,1343
2924,64
587,105
446,1304
2726,492
1724,231
1062,1636
1288,3142
253,588
1536,200
1760,1309
220,699
2584,27
2197,1205
1748,104
2525,2098
1663,145
2172,783
1396,1341
573,1218
1410,4401
2628,336
2024,480
759,473
1424,1343
1676,17
1031,231
2299,538
830,1278
298,578
1595,480
1487,674
2641,186
1455,2331
1600,1442
2840,947
2306,1099
316,1227
67,27
320,9
1898,695
2455,947
2460,2014
814,380
1339,195
457,6
1576,375
2538,473
232,21
1711,960
1604,681
252,1125
1355,784
2696,186
1999,506
2928,3049
2529,134
2588,681
806,49
1700,477
2402,373
2593,465
2285,717
338,445
497,500
623,3149
1116,49
2233,679
2389,5056
1936,495
2450,209
1939,467
726,804
1003,9
29,50
2483,3149
1720,3
1730,429
2399,782
1294,486
2569,1601
267,550
1923,2618
2067,908
2849,535
2223,92
1040,471
2450,986
523,481
1410,3049
15,1692
2152,221
606,492
1393,407
2527,100
2876,3049
1169,1089
1725,2425
1015,1284
818,209
390,1662
2142,786
2534,822
765,663
2122,2337
625,4139
1612,2098
2740,328
642,534
603,1220
972,1017
1107,401
2245,1137
1661,1861
38,1597
773,918
1323,485
1170,502
2008,61
1431,0
2202,503
1259,1093
864,818
120,3155
1123,2618
2300,471
1743,1250
214,2099
243,867
2148,4888
2146,1174
596,1919
1960,1596
2386,643
2628,474
621,109
1810,1126
640,550
1558,754
1116,695
143,563
543,460
940,503
1325,1144
2818,186
247,867
2550,1903
1075,5016
1731,1218
712,29
2246,2596
787,716
2444,145
580,113
604,1856
2473,289
1259,2220
467,1337
2815,435
273,984
1395,529
1945,2367
863,125
2198,5294
431,1687
2430,1675
950,150
2908,1126
2119,2467
1819,611
1789,1572
1711,428
2447,480
1846,607
491,1401
1622,1149
1446,488
1501,4139
2341,237
1127,393
212,398
982,487
1209,4451
343,663
548,641
2753,3408
1749,3
304,71
174,1323
1205,3569
182,499
2015,3155
2662,684
1753,1216
2645,435
33,3417
2346,2217
842,2558
2070,77
2201,1469
1602,1098
1051,537
187,487
1455,2618
2542,643
2064,604
2715,232
1867,364
2013,368
1619,867
1408,512
1159,20
1636,139
2758,221
1181,787
1763,716
758,49
1294,489
1461,238
1561,214
319,1025
427,388
694,804
390,1405
1598,779
259,340
102,20
728,304
2450,1163
2795,370
610,802
590,344
1719,2697
667,1098
1779,682
554,1142
2255,527
2985,721
424,716
2756,554
538,234
911,1467
1791,273
2474,545
1847,483
308,71
2943,4362
1818,947
661,209
1388,474
2094,701
1355,485
2852,63
2582,590
2191,125
38,3427
1835,474
443,716
2873,432
2241,814
542,1025
2167,988
2936,553
1404,112
481,135
394,804
738,125
1156,346
1877,3787
2608,512
2726,1422
451,24
1235,4279
901,186
689,2099
2192,825
2112,864
154,1243
223,4369
2797,874
1434,393
1549,585
1090,4349
764,4125
1995,116
1210,186
1295,3091
973,231
399,91
2134,462
2848,531
430,503
295,501
2437,480
1413,186
1750,344
1812,238
1172,453
736,1463
744,714
1091,1858
1269,68
976,1048
1393,818
1080,3787
225,804
2613,486
825,116
2105,1088
2040,1899
1668,2618
1572,1663
1315,2043
1495,428
2039,453
2105,655
2607,116
530,4291
2395,236
388,488
748,1212
522,761
2097,3155
670,350
88,2737
1027,2615
609,289
750,568
2948,2865
1789,527
2420,186
683,757
22,61
543,2144
938,641
940,1099
768,401
1139,607
2319,918
2862,812
692,656
2585,1255
1445,88
2491,601
2846,695
451,1319
1592,1127
858,545
70,221
2094,804
1227,232
2512,483
2050,1791
890,497
1320,474
2458,956
2161,1899
36,1187
100,2730
1745,5551
191,3311
2045,2226
2947,788
374,5093
1160,520
571,911
1091,3710
1119,1856
1395,1218
2776,20
2012,1184
1036,1401
67,601
2398,2498
290,1064
1911,526
2160,17
625,1227
2526,947
2368,3098
1941,669
929,1436
856,1572
2819,209
2590,89
2079,911
333,4869
163,782
2336,120
2047,324
2309,534
1142,2226
1222,1174
776,27
2894,1202
2558,2719
2604,29
2711,156
889,1589
2783,1356
2262,3098
2186,1899
154,945
1089,537
1070,338
570,230
2699,368
1322,947
756,375
2161,641
1593,921
457,474
2438,282
529,428
2849,480
245,3591
2850,2226
2695,400
2995,92
327,945
1415,438
1905,474
635,125
408,429
309,483
712,1048
2911,14
1733,528
979,3
479,810
763,336
1072,328
691,400
1938,5332
2944,606
2296,1442
2811,368
1259,1091
2212,1624
1131,393
1167,2722
1614,29
2844,1821
652,656
129,3807
2794,880
266,663
1729,2014
2104,788
293,1624
1991,145
1044,809
430,496
1597,846
904,1901
820,4291
2557,125
2396,759
113,782
2773,2144
1779,571
1825,3091
1505,793
1505,2118
1512,571
898,552
2946,4695
2885,809
378,1401
2370,2099
2054,1894
1850,427
1538,1484
1791,970
343,3815
2551,3050
1233,1226
1585,476
1474,61
2838,656
1859,479
1395,338
2946,2515
2616,476
1609,563
1640,601
1381,3049
1074,4291
2326,340
146,686
541,655
291,1108
678,520
907,3569
1481,1380
2875,340
2025,681
440,3807
521,111
2935,782
1614,445
2979,1912
926,231
1515,338
282,674
1548,343
2530,528
2486,529
1953,340
2029,145
355,3569
1773,474
33,1212
1226,20
921,68
2569,1163
606,343
1024,1475
1376,544
1398,481
981,116
174,1294
1906,409
2242,712
2572,50
2589,435
245,531
852,2498
1313,713
1238,144
2107,1309
517,432
900,154
1420,2153
2504,819
1257,4714
2681,1212
301,24
2904,669
790,4631
1424,2664
2734,825
1453,1096
2949,438
629,2615
164,947
1921,288
695,467
1923,473
130,3804
919,282
2818,820
574,4709
2749,50
592,2202
250,1063
100,145
1784,867
1985,3149
2168,537
637,2697
1323,3887
2756,782
253,280
751,311
2923,489
1718,479
1138,1530
1035,717
1999,481
1477,527
650,2618
1068,289
804,1279
498,1071
1036,332
1029,2439
1008,814
273,1417
771,90
441,474
1372,71
1468,1589
2202,473
429,231
96,481
2172,219
1701,1699
2367,965
659,916
2079,1821
286,484
271,592
799,419
1035,368
314,1077
1948,1126
843,193
966,1337
1094,674
1558,818
1899,1386
2911,1382
1884,886
1994,520
830,7
1895,1899
1509,304
941,240
2085,2337
478,474
1578,960
1279,1227
1147,1718
1140,5551
32,1357
2467,374
1726,1294
2159,116
1046,515
982,1186
766,105
2674,543
2536,814
2181,1343
1693,555
1502,333
1458,240
2637,323
755,473
957,3787
555,3710
2177,825
1339,1625
2181,538
373,528
2732,485
2078,340
168,768
2945,169
1303,289
1056,4631
118,1588
49,2664
401,485
791,716
2355,2144
926,5016
340,1850
1918,531
2618,2062
2403,1226
2427,1937
2238,4291
2702,44
858,537
964,1474
2316,1386
1356,2726
628,2558
2183,1378
1026,950
1831,119
1879,49
2745,542
1463,336
1868,2439
527,142
2736,669
2011,1087
2895,114
1119,539
2590,305
66,1043
564,674
1744,501
1910,492
2285,209
1562,343
2737,684
554,63
2752,1024
2701,1048
963,2014
1598,334
0,3096
165,1910
794,473
375,517
2197,6
2187,313
237,104
2945,1619
858,820
2278,400
583,339
167,1671
99,116
2845,506
2455,593
735,233
176,342
2767,475
1766,12
1384,1166
2348,3787
907,4279
2435,3050
2786,512
520,233
1232,133
68,145
589,221
2598,585
1333,804
1498,1589
2643,498
2537,839
2374,156
130,445
270,369
22,1202
1825,3787
468,586
216,486
172,1126
1381,809
291,853
2250,114
561,960
1146,3
2325,686
2221,375
428,201
1824,1456
1015,495
946,0
2008,277
1326,695
312,682
2279,145
1830,649
1984,494
1283,280
2248,1442
1894,4369
161,488
1821,1106
2518,1184
570,1099
1656,995
2894,916
1644,84
2418,176
84,1202
2297,1220
2539,635
725,114
1139,1071
916,591
2154,339
2858,1409
993,441
2872,669
85,278
1048,2367
2505,459
639,295
2137,1098
1800,327
804,809
1854,525
778,5124
448,17
2329,819
978,140
591,3294
1311,656
823,1268
1713,1861
4,479
610,34
2285,825
1364,956
430,1186
608,214
1998,235
403,142
416,27
490,793
1769,601
1373,1216
1499,960
81,143
1606,502
2424,125
887,3569
1936,1024
1568,812
2643,844
2510,1048
499,591
2278,601
1766,15
2881,234
2851,825
2205,458
1489,2515
1864,1858
2748,1144
102,221
2263,536
1803,6
1415,485
2762,1227
1547,49
283,343
2883,474
2521,531
1685,1115
2446,481
2099,1220
893,1226
1550,853
0,340
2475,743
2930,719
1114,1588
1177,1064
1331,428
2076,2618
1933,825
296,669
1310,277
964,523
584,428
567,1357
889,231
2071,496
1162,2023
1672,1203
781,721
656,214
529,475
2497,327
510,649
594,278
757,27
1419,812
1790,125
643,1107
707,674
176,476
2310,336
1110,1509
2568,105
2063,10
2245,809
2400,341
1328,218
1625,344
1725,1237
745,209
2876,1091
2849,327
1140,536
333,87
2740,125
1057,93
2147,3815
126,528
2986,1184
927,487
2692,370
383,856
353,186
1367,336
2024,695
1905,574
806,764
129,3569
2268,916
1117,148
1143,2439
711,825
801,10
2986,1423
2382,450
658,5176
2297,1364
2040,5329
1077,458
231,493
2240,124
2375,535
2557,1285
2650,11
2406,1331
2867,4455
1359,104
1534,916
1352,2697
1853,560
2423,2153
2634,4631
2257,1398
783,323
839,1174
626,601
1280,483
937,462
2214,637
1102,512
1773,195
1627,970
2160,234
2091,95
89,641
251,336
942,202
1747,526
1420,2618
642,480
887,496
382,3700
914,327
272,3856
1517,3787
1188,6
2859,435
405,125
2477,669
484,392
1230,2664
2717,17
770,616
2651,2042
2683,2697
1609,506
2084,145
1266,528
660,1442
2374,1174
823,328
1667,288
43,1893
2261,782
1759,339
1001,960
1188,19
799,328
250,2964
331,3807
1855,499
163,1850
1929,10
959,150
685,737
2442,765
2349,2014
1461,380
1948,2467
2061,476
2187,757
2231,424
1306,1212
1216,2558
1840,342
393,370
2000,375
1650,713
230,92
2577,4888
734,324
1564,5016
714,876
2056,344
889,1363
1932,1919
2962,161
2242,669
85,1218
152,1048
764,732
1518,886
2036,499
1873,328
172,341
1279,680
1132,169
135,156
2854,27
2351,585
1423,375
2910,114
844,1900
2574,327
274,336
2811,104
2706,460
2489,50
545,1097
1929,20
1482,695
2283,428
504,2618
3,1064
150,5551
1990,1337
1313,73
2756,133
684,288
2717,782
1468,168
1805,1212
837,344
1174,1285
1654,68
1748,3569
1441,474
636,1068
72,529
513,116
2502,782
571,506
1364,492
479,92
2221,68
543,759
2748,554
2270,1226
1888,458
255,488
498,1442
787,711
952,361
152,949
1633,3050
2319,818
21,3808
93,4279
1863,696
2293,409
1755,3624
2079,535
2520,1501
2192,1163
138,3159
51,3311
877,810
2358,656
1926,1137
2774,684
6,337
2811,554
2889,17
1527,780
210,1048
657,468
143,669
1966,2719
521,77
2711,116
1758,535
1256,49
1279,145
79,1241
51,2105
2907,61
2611,156
2191,1918
2582,1212
442,574
2462,5234
1041,1401
2573,628
844,3371
1403,58
2668,600
832,528
1506,4291
1551,1099
2161,496
819,343
1405,655
1161,1572
2871,1180
487,93
450,64
884,1166
1714,1379
445,810
2712,497
1950,809
8,343
1408,3
1822,1173
2133,497
121,327
1678,1088
1457,1048
1560,776
2853,429
1055,679
2074,1184
148,1108
1802,380
320,186
647,2618
2206,323
2267,4139
2953,4631
1141,2380
1097,792
146,231
500,368
1902,156
1601,176
234,484
514,435
2707,161
949,336
2044,1204
698,277
1951,480
836,1258
896,492
613,1900
1514,2215
2315,716
2574,1142
1690,537
166,4900
631,1186
1236,793
602,1589
2059,380
2377,2226
2131,1484
2531,4006
2385,230
213,326
1652,145
357,529
297,2467
2345,4631
1011,484
2945,193
1157,1593
672,116
1113,95
930,732
2123,116
238,3787
1294,311
708,1237
2117,473
1127,277
1172,641
2556,1899
945,1240
1266,825
1698,684
2208,483
1797,620
2384,29
1239,637
1423,341
40,232
2528,776
1443,153
2852,1910
824,71
2664,340
1890,429
299,471
1009,532
672,759
835,209
1125,187
478,1255
2296,1858
716,50
412,535
2335,240
2596,338
961,1180
1743,712
2532,289
632,337
2232,7
935,336
2902,3149
1262,1212
1649,474
1056,1858
699,233
2063,172
1289,1220
2552,3091
322,2518
2440,395
1412,1126
2006,916
1615,328
2503,27
2436,341
2668,660
1557,3371
2976,635
506,234
1647,374
2049,3591
1857,641
655,961
1048,4631
1259,525
2761,804
2599,474
1306,214
1590,1034
2263,4885
2578,434
922,125
1707,1858
27,24
2762,214
72,14
2356,635
1156,2054
422,988
1786,1255
195,154
1048,1938
2441,403
1549,277
1370,656
403,150
1295,1442
1240,3710
23,813
2730,655
512,1382
2544,545
2684,3091
1196,450
2229,1851
2516,380
1139,701
2865,1184
1016,4368
2010,0
2302,1126
1245,867
667,214
541,2187
2501,1821
417,543
187,843
677,528
33,669
387,1048
2543,433
1634,468
1315,214
1071,337
1837,621
137,716
2808,291
1253,1587
1830,450
1935,472
1285,995
1769,473
1885,1551
931,1343
261,116
150,473
2023,501
1420,1142
1941,2215
1314,19
221,333
2844,5126
1388,17
2253,635
440,234
2618,494
870,1899
1349,428
1636,122
2448,614
1607,750
1765,112
2318,2719
1407,2215
2601,2518
2047,333
2548,6
857,109
734,487
2355,732
862,1899
1283,145
1042,473
1401,2697
2486,1461
912,292
2383,1719
1013,229
483,5093
1782,782
2093,209
2752,17
1427,3
2263,3624
1341,641
2752,761
666,278
847,104
2175,916
2688,2467
1988,1109
1171,1858
991,471
1083,2337
770,1236
2404,71
2271,1900
1045,1186
2495,3058
2871,19
1096,125
675,460
2113,712
1109,125
378,156
1652,126
2294,186
2619,328
1614,2500
1371,1048
1819,497
1095,970
1987,860
225,51
2167,774
1642,6
1182,4714
1481,1226
2308,398
318,233
1307,908
343,757
2654,1017
390,1899
520,183
704,1899
753,1551
2622,483
1399,1163
1915,2337
1837,692
946,1396
1149,492
718,837
697,494
10,1499
2390,586
847,472
1995,803
1975,1237
2724,2199
276,209
882,844
2980,63
1421,857
996,472
1272,1999
1984,1379
2338,419
1470,717
1363,104
2856,1857
2049,490
635,401
2296,1212
2532,435
470,960
2581,212
1159,997
1848,543
488,517
1913,2618
2481,228
157,782
1570,450
103,2498
1161,539
136,2437
1442,780
1069,450
669,341
2596,812
680,473
576,481
1004,339
896,486
1126,541
649,58
484,27
413,818
1084,341
1339,5445
1108,341
849,604
2884,2014
180,5551
1784,1137
1336,938
263,113
260,420
532,1556
2610,4349
2749,514
467,471
2120,192
256,341
1882,1285
1335,1910
1330,428
2409,606
2375,3807
2161,433
1560,681
400,313
2418,1212
1354,61
2789,4971
2574,604
877,537
2328,472
1580,674
2497,458
1432,2697
2957,32
628,516
1842,1181
2872,497
415,112
665,148
749,460
940,656
1996,209
123,916
455,327
134,3515
2769,479
1687,1098
1381,818
2237,3787
1808,462
2277,761
2213,1341
2769,1163
886,58
2742,458
1214,947
2996,278
1380,37
597,641
2675,2328
1315,234
1767,1297
2550,1675
719,501
784,1278
1492,1212
688,535
94,231
1264,601
1627,453
2650,34
2709,3097
1823,0
818,554
679,3836
2156,486
127,500
298,988
737,1595
2914,474
2361,14
357,1401
225,814
2673,1309
763,839
2570,488
1336,458
2448,400
1446,218
972,1294
687,418
1371,4406
458,114
2110,519
2074,24
2592,3569
1816,658
2119,1183
1129,485
1440,875
2700,4631
12,428
2868,537
1678,14
1487,5551
1056,3807
1891,323
2169,2336
1855,496
932,479
2512,526
2218,1572
2034,50
435,474
1168,236
800,1064
2576,171
2094,145
2261,713
2245,554
186,113
2093,36
1120,901
2837,1048
2826,481
659,514
1415,4900
2667,481
420,820
1495,2178
2012,289
1011,275
2965,692
1616,1939
2761,485
2754,880
2976,1301
1674,506
1381,782
1066,1423
1137,468
835,717
829,465
2852,1596
1132,112
1511,684
504,1205
1014,839
777,3394
1843,508
651,201
241,2099
1699,3787
88,4631
919,2221
588,28
1820,1212
2584,247
1975,282
1784,813
1665,527
2183,637
2060,515
4,716
244,238
1688,593
707,497
802,49
1213,649
2261,49
631,4631
2247,1202
599,3058
433,219
2284,494
1841,1212
2959,407
687,2320
247,237
1369,1596
759,368
860,4378
2137,782
2841,438
1419,61
1961,474
143,804
1950,1204
1395,506
1134,717
717,4262
2102,209
1661,1899
130,1212
1228,533
2871,719
1601,897
2360,111
1541,1355
1361,61
1160,63
505,1442
961,344
418,127
1544,535
221,420
2054,759
429,426
1412,554
1246,344
964,1275
2557,368
855,574
1718,336
624,4369
944,802
390,1442
1402,418
2529,221
2506,3856
1236,1174
805,104
2590,229
2575,20
1543,529
2612,1014
727,178
1361,20
2324,2202
2970,250
2651,1213
395,204
2441,126
575,825
2325,5176
942,421
2103,1218
1081,116
1097,332
529,496
1218,3887
1284,586
2570,804
832,1356
1373,557
2917,164
1447,458
2662,1939
1588,327
2240,289
1698,1593
1159,209
2471,1392
2762,1630
517,92
2801,1097
2210,857
1711,2618
2591,1357
1140,240
901,1401
2339,945
2637,515
48,988
975,1226
222,151
585,515
2838,512
1537,3787
945,1593
524,2884
2151,825
1652,116
686,1168
2825,2215
702,1212
1725,555
1883,172
2558,480
1637,2202
673,1285
2523,1285
1588,549
434,114
1302,488
208,85
643,492
2096,1378
2103,339
559,14
140,1356
1291,1861
2669,5176
1914,326
1642,4455
1591,2215
830,157
1796,201
886,1323
1437,2380
2938,500
1958,1137
512,119
2098,1039
2005,395
2424,1163
761,445
2156,489
2800,3123
1775,484
1754,1699
2631,97
1828,311
2579,4406
2154,846
310,17
1414,375
1949,1092
2740,488
773,344
2783,124
1705,523
1946,2865
1330,9
1898,116
2835,474
2569,695
1291,228
177,791
1503,1434
2955,1218
1705,429
637,2367
2412,458
1203,1631
1688,104
985,1048
1778,788
1761,11
2233,77
53,497
1337,474
131,1675
1751,696
1877,531
1087,474
2421,5093
1763,604
1987,1358
593,6
1827,428
1695,483
2008,3096
1367,536
1265,1275
2294,116
2800,945
1111,904
872,104
2128,171
2365,875
782,1048
131,401
1394,1791
1063,341
2870,2515
1937,27
2129,3142
2623,4709
155,94
1458,961
84,485
412,341
602,2615
1370,281
923,474
831,221
300,2338
2825,1226
2592,938
391,1183
1096,488
2906,843
1510,104
463,3166
2400,232
2484,238
620,4030
1837,667
1770,5421
725,145
1536,4362
229,344
2635,1071
2970,1225
1603,2719
453,328
999,560
1126,340
237,502
294,395
1266,2618
1547,680
2461,1163
2259,2014
970,1791
305,1556
2165,3050
1768,528
2948,4362
1542,465
1278,571
948,34
1132,211
2168,1861
2229,473
150,3856
785,2118
720,713
1543,247
263,782
2253,1062
2488,305
2511,473
691,1279
1946,1304
330,168
2532,3049
967,655
346,1496
1877,588
1646,1106
148,809
2885,394
1388,27
2961,3091
1239,1585
1368,214
360,1903
2518,401
2695,332
2629,2664
2736,3569
1996,1502
1045,496
2961,1688
2036,1398
2103,1226
1996,116
342,357
611,214
2200,145
923,472
26,1386
1376,586
1811,534
917,280
2859,1699
2827,332
1109,368
1141,3808
1235,655
606,686
1112,340
2258,1595
2183,145
2947,488
502,176
673,186
1801,16
604,2618
1232,2408
2396,116
2202,961
2386,1409
1615,3856
2798,186
1080,2439
1831,486
181,114
1809,607
2952,34
920,680
1606,501
2869,288
2787,1595
1417,116
1338,1358
2929,1264
